Symbol,Name
0IEQ,ETFMG PRIME CYBER SECURITY ETF ETFMG PRIME CYBER SECURITY ETF
0VRH,ISHARES SWISS DIVIDEND (CH) ISHARES SWISS DIVIDEND ETF (CH) ETF
0IX3,GLOBAL X SOCIAL MEDIA ETF GLOBAL X SOCIAL MEDIA ETF
0JFH,ISHARES MSCI EMERGING MARKETS ETF ISHARES MSCI EMERGING MARKETS ETF
0W8K,SELIGSON & CO OMX HELSINKI 25 ETF SELIGSON & CO OMX HELSINKI 25 ETF
0IYF,GLOBAL X SILVER MINERS ETF GLOBAL X SILVER MINERS ETF
0MKK,ISHARES GOLD CHF HEDGED (CH) ISHARES GOLD CHF HEDGED ETF (CH)  ETF
0DV3,COMSTAGE FR DAX UCITS ETF COMSTAGE FR DAX UCITS ETF
0L1F,SPDR S&P HOMEBUILDERS ETF SPDR S&P HOMEBUILDERS ETF
0HCD,COMSTAGE MSCI SPAIN TRN UCITS ETF COMSTAGE MSCI SPAIN TRN UCITS ETF
0IWO,GLOBAL X MSCI ARGENTINA ETF GLOBAL X MSCI ARGENTINA ETF
0AO5,RAIFFEISEN ETF - SOLID GOLD OUNCES RAIFFEISEN ETF - SOLID GOLD OUNCES H CHF
0VQH,ZKB GOLD ETF AA CHF ZKB GOLD ETF AA EUR
0W77,COMSTAGE 1 SDAX UCITS ETF COMSTAGE 1 SDAX UCITS ETF
0IYH,GLOBAL X GOLD EXPLORERS ETF GLOBAL X GOLD EXPLORERS ETF
0DQI,COMSTAGE EURO STOXX 50 UCITS ETF COMSTAGE EURO STOXX 50 UCITS ETF
0MLA,ISHARES DIVDAX UCITS (DE) ETF ISHARES DIVDAX UCITS (DE) ETF
0EDF,THINK GLOBAL EQUITY UCITS ETF THINK GLOBAL EQUITY UCITS ETF
0HE3,UBS ETF-MSCI USA SOCIALLY RESPONSIB UBS ETF-MSCI USA SOCIALLY RESPONSIBLE U
0H82,COMSTAGE CAC 40 UCITS ETF COMSTAGE CAC 40 UCITS ETF
0W2R,SOURCE JPX-NIKKEI 400 ETF SOURCE JPX-NIKKEI 400 ETF (DE)
0LMQ,VANGUARD MSCI PACIFIC ETF VANGUARD FTSE PACIFIC FUND ETF
0W4U,HSBC MSCI CHINA UCITS ETF HSBC MSCI CHINA UCITS ETF (GER)
0JGK,ISHARES RUSSELL 2000 GROWTH ETF ISHARES RUSSELL 2000 GROWTH ETF
0DSA,COMSTAGE MSCI USA TRN UCITS ETF COMSTAGE MSCI USA TRN UCITS ETF
0LLR,VANECK VECTORS BRAZIL SMALL-CAP ETF VANECK VECTORS BRAZIL SMALL-CAP ETF
0VR5,ZKB SILVER ETF AA CHF ZKB SILVER ETF AA CHF
0Y5B,PIMCO COVERED BOND SOURCE ETF PIMCO COVERED BOND SOURCE ETF
0AO4,RAIFFEISEN ETF - SOLID GOLD OUNCES RAIFFEISEN ETF - SOLID GOLD OUNCES A CHF
0GOZ,ZKB GOLD ETF AA CHF ZKB GOLD ETF AA GBP
0IWZ,GLOBAL X MSCI GREECE ETF GLOBAL X MSCI GREECE ETF
0MV1,COMSTAGE NASDAQ-100 UCITS ETF COMSTAGE NASDAQ-100 UCITS ETF
0IXR,GLOBAL X MSCI NIGERIA ETF GLOBAL X MSCI NIGERIA ETF
0E3I,UBS ETF-MSCI USA SOCIALLY RESPONSIB UBS ETF-MSCI USA SOCIALLY RESPONSIBLE U
0AO7,RAIFFEISEN ETF - SOLID GOLD A USD RAIFFEISEN ETF - SOLID GOLD A USD
0HDR,UBS ETF-MSCI USA SOCIALLY RESPONSIB UBS ETF-MSCI USA SOCIALLY RESPONSIBLE U
0MPV,DEKA MSCI EUROPE LC UCITS ETF DEKA MSCI EUROPE LC UCITS ETF
0W79,COMSTAGE 1 TECDAX UCITS ETF COMSTAGE 1 TECDAX UCITS ETF
0LLL,VANECK VECTORS EGYPT INDEX ETF VANECK VECTORS EGYPT INDEX ETF
0H7P,COMSTAGE MSCI TAIWAN TRN UCITS ETF COMSTAGE MSCI TAIWAN TRN UCITS ETF
0H9I,COMSTAGE SPI TR UCITS ETF COMSTAGE SPI TR UCITS ETF
0JJE,ISHARES U.S. REGIONAL BANKS ETF ISHARES US REGIONAL BANKS ETF
0HCA,COMSTAGE MSCI ITALY TRN UCITS ETF COMSTAGE MSCI ITALY TRN UCITS ETF
0JFT,ISHARES S&P 500 VALUE ETF ISHARES S&P 500 VALUE ETF
0N6N,RAIFFEISEN ETF - SOLID GOLD OUNCES RAIFFEISEN ETF - SOLID GOLD OUNCES A USD
0VQL,ISHARES GOLD EUR HEDGED (CH) ISHARES GOLD EUR HEDGED ETF (CH) ETF
0W76,COMSTAGE 1 DIVDAX UCITS ETF COMSTAGE 1 DIVDAX UCITS ETF
0W75,COMSTAGE 1 DAX UCITS ETF COMSTAGE 1 DAX UCITS ETF
0Y6S,SOURCE S&P 500 ETF SOURCE S&P 500 ETF EUR HEDGED
0KOK,PROSHARES SHORT S&P500 ETF PROSHARES SHORT S&P500 ETF
0XAW,LYXOR UCITS ETF DAILY LEVERAGED SMI LYXOR SMI DAILY (2X) LEVERAGED UCITS ETF
0L0X,SPDR KBW REGIONAL BANKING (ETF) SPDR S&P REGIONAL BANKING ETF
0DS3,COMSTAGE MSCI PACIFIC TRN UCITS ETF COMSTAGE MSCI PACIFIC TRN UCITS ETF
0LLF,VANECK VECTORS OIL SERVICES ETF VANECK VECTORS OIL SERVICES ETF
0MV3,COMSTAGE NIKKEI 225 UCITS ETF COMSTAGE NIKKEI 225 UCITS ETF
0W78,COMSTAGE 1 MDAX UCITS ETF COMSTAGE 1 MDAX UCITS ETF
0I00,GUGGENHEIM CHINA REAL ESTATE ETF GUGGENHEIM INVEST CHINA REAL ESTATE ETF
0VR8,ZKB SILVER ETF AA CHF ZKB SILVER ETF AAH CHF
0JFD,ISHARES CHINA LARGE-CAP ETF ISHARES CHINA LARGE-CAP ETF
0L0S,SPDR S&P AEROSPACE & DEFENSE ETF SPDR S&P AEROSPACE & DEFENSE ETF
0DRY,COMSTAGE MSCI WORLD TRN UCITS ETF COMSTAGE MSCI WORLD TRN UCITS ETF
0AOJ,UBS ETF (CH) - MSCI SWITZERLAND IMI UBS ETF (CH) - MSCI SWITZERLAND IMI SOCR
0E7Q,UBS ETF-BLMBRGBRCLS EUR INFLLNK10+ UBS ETF-BLMBRGBRCLS EUR INFLLNK10+ UCIT
0DV0,COMSTAGE S&P 500 UCITS ETF COMSTAGE S&P 500 UCITS ETF
0MTU,SOURCE STOXX EUROPE MID 200 ETF SOURCE STOXX EUROPE MID 200 ETF
0MKF,ZKB GOLD ETF AA CHF ZKB GOLD ETF AA USD
0H7M,COMSTAGE MSCI JAPAN TRN UCITS ETF COMSTAGE MSCI JAPAN TRN UCITS ETF
0VQK,ZKB GOLD ETF AA CHF ZKB GOLD ETF AAH EUR
0IEP,ETFMG PRIME JUNIOR SILVER ETF ETFMG PRIME JUNIOR SILVER ETF
0JKM,ISHARES MSCI GERMANY SMALL-CAP ETF ISHARES MSCI GERMANY SMALL-CAP ETF
0JNB,ISHARES MSCI UNITED KINGDOM ETF ISHARES MSCI UNITED KINGDOM ETF
0JKC,ISHARES SILVER TRUST ISHARES SILVER ETF
0EFH,VERDIPAPIRFONDET DNB OBX DNB OBX ETF
0MPS,DEKA DAX  UCITS ETF INC DEKA DAX  UCITS ETF INC
0MVW,XTRACKERS ATX UCITS ETF 1C XTRACKERS ATX UCITS ETF 1C
0VR9,ZKB SILVER ETF AA CHF ZKB SILVER ETF AAH EUR
0WA1,LYXOR PRIVEX UCITS ETF D-EUR LYXOR PRIVEX UCITS ETF D-EUR
0HD4,UBS ETF-FACTOR MSCI EMU LOWVOLATILI UBS ETF-FACTOR MSCI EMU LOWVOLATILITY U
0JHR,ISHARES MSCI ACWI EX US ETF ISHARES MSCI ACWI EX US ETF
0INZ,FIRST TRUST CLOUD COMPUTING ETF FIRST TRUST CLOUD COMPUTING ETF
